block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
337,0.337,14,4000,856.24,8.517713555316229,848.8458160312434,62.75999999999999,4.92,0,authentic
338,0.338,12,-8000,62.0,7.607395517235227,789.2194377824898,228.76,9.56,0,authentic
339,0.339,28,3500,561.64,7.905020170790398,830.3150667809158,499.64,6.24,0,authentic
340,0.34,22,7500,598.6,7.891411151595865,811.62335128763,36.960000000000036,7.04,0,authentic
341,0.341,31,-7500,226.76,8.579322874019004,870.3112120894078,-371.84000000000003,4.8,0,authentic
342,0.342,17,-9500,946.32,8.462133850564992,888.419067579218,-303.43999999999994,4.32,0,authentic
343,0.343,20,-5500,804.4,8.426436114326503,877.7277302431314,-141.92000000000007,4.76,0,authentic
344,0.34400000000000003,10,-8000,931.24,8.042012657134666,814.7445786689428,126.84000000000003,7.52,0,authentic
345,0.34500000000000003,8,4500,846.16,7.947163617389077,842.028726199306,-85.08000000000004,5.92,0,authentic
346,0.34600000000000003,13,0,560.72,7.874724670162326,797.2197436509026,-285.43999999999994,9.24,0,authentic
347,0.34700000000000003,5,3000,31.44,8.02930145011695,842.536074473019,493.72,7.28,0,authentic
348,0.34800000000000003,25,-6000,51.48,8.201796622275932,824.6634631499925,20.039999999999996,7.16,0,authentic
349,0.34900000000000003,20,1000,307.36,7.592082891672196,797.6525507015182,255.88000000000002,11.28,0,authentic
350,0.35000000000000003,9,7500,515.88,7.963435889777063,811.0924701317944,208.51999999999998,8.96,0,authentic
351,0.35100000000000003,32,-500,727.2,8.409573416098285,856.907137162777,211.32000000000005,5.08,0,authentic
352,0.352,7,5500,804.0,8.136269647302147,846.895273596386,76.79999999999995,7.36,0,authentic
353,0.353,9,-9500,212.4,8.015989203080405,807.7793704434187,431.4,9.56,0,authentic
354,0.354,13,7500,1018.0,8.762811216340255,861.7990637795561,-217.39999999999998,3.56,0,authentic
355,0.355,22,8500,933.24,8.540030322878444,877.3777178199917,-84.75999999999999,4.8,0,authentic
356,0.356,20,-10000,1004.24,8.021920593282728,852.2775993383034,71.0,12.84,0,authentic
357,0.357,20,-1000,48.32,8.666406943536085,895.8144176874234,67.08000000000004,4.64,0,authentic
358,0.358,17,-7000,201.48,8.523376631755715,842.4089032909219,153.16,5.36,0,authentic
359,0.359,14,-7500,832.68,8.093830828535443,814.8706206918549,-391.80000000000007,7.84,0,authentic
